"Stkcd","Trddt","Dsmvtll"
"000625","2022-12-26","108139211.46"
"000625","2022-12-27","108387617.00"
"000625","2022-12-28","102343082.21"
"000625","2022-12-29","101763469.29"
"000625","2022-12-30","101929072.98"
"000951","2022-01-04","19596820.92"
"000951","2022-01-05","18985888.86"
"000951","2022-01-06","19303103.58"
"000951","2022-01-07","20231250.38"
"000951","2022-01-10","20430978.17"
"000951","2022-01-11","20630705.96"
"000951","2022-01-12","20454475.56"
"000951","2022-01-13","19620318.31"
"000951","2022-01-14","18833155.84"
"000951","2022-01-17","18974140.16"
"000951","2022-01-18","19032883.63"
"000951","2022-01-19","19103375.79"
"000951","2022-01-20","18410202.87"
"000951","2022-01-21","17587794.32"
"000951","2022-01-24","17505553.46"
"000951","2022-01-25","16612652.75"
"000951","2022-01-26","16471668.43"
"000951","2022-01-27","15884233.75"
"000951","2022-01-28","16119207.62"
"000951","2022-02-07","16706642.30"
"000951","2022-02-08","17117846.58"
"000951","2022-02-09","17258830.90"
"000951","2022-02-10","17341071.75"
"000951","2022-02-11","16894621.40"
"000951","2022-02-14","16530411.90"
"000951","2022-02-15","16565657.98"
"000951","2022-02-16","16612652.75"
"000951","2022-02-17","16495165.81"
"000951","2022-02-18","16671396.22"
"000951","2022-02-21","16777134.46"
"000951","2022-02-22","16365930.18"
"000951","2022-02-23","16565657.98"
"000951","2022-02-24","15942977.22"
"000951","2022-02-25","16001720.68"
"000951","2022-02-28","15778495.50"
"000951","2022-03-01","16013469.38"
"000951","2022-03-02","15872485.05"
"000951","2022-03-03","15978223.30"
"000951","2022-03-04","15708003.34"
"000951","2022-03-07","15191060.82"
"000951","2022-03-08","14732861.77"
"000951","2022-03-09","14533133.98"
"000951","2022-03-10","14838600.02"
"000951","2022-03-11","15061825.20"
"000951","2022-03-14","14697615.69"
"000951","2022-03-15","13863458.45"
"000951","2022-03-16","14262914.03"
"000951","2022-03-17","14462641.82"
"000951","2022-03-18","14568380.06"
"000951","2022-03-21","14509636.60"
"000951","2022-03-22","14568380.06"
"000951","2022-03-23","14615374.84"
"000951","2022-03-24","14486139.21"
"000951","2022-03-25","14309908.80"
"000951","2022-03-28","14415647.05"
"000951","2022-03-29","14227667.95"
"000951","2022-03-30","14474390.52"
"000951","2022-03-31","14427395.74"
"000951","2022-04-01","13792966.29"
"000951","2022-04-06","13452254.17"
"000951","2022-04-07","13135039.44"
"000951","2022-04-08","14450893.13"
"000951","2022-04-11","14098432.32"
"000951","2022-04-12","14380400.97"
"000951","2022-04-13","14051437.55"
"000951","2022-04-14","14521385.29"
"000951","2022-04-15","14192421.87"
"000951","2022-04-18","13863458.45"
"000951","2022-04-19","13745971.51"
"000951","2022-04-20","13534495.03"
"000951","2022-04-21","13064547.28"
"000951","2022-04-22","12559353.46"
"000951","2022-04-25","11302243.24"
"000951","2022-04-26","10750054.64"
"000951","2022-04-27","11302243.24"
"000951","2022-04-28","11173007.61"
"000951","2022-04-29","11631206.66"
"000951","2022-05-05","11807437.07"
"000951","2022-05-06","11478473.65"
"000951","2022-05-09","11607709.28"
"000951","2022-05-10","11666452.74"
"000951","2022-05-11","11772190.99"
"000951","2022-05-12","11795688.37"
"000951","2022-05-13","12688589.09"
"000951","2022-05-16","12312630.89"
"000951","2022-05-17","13546243.72"
"000951","2022-05-18","14415647.05"
"000951","2022-05-19","14227667.95"
"000951","2022-05-20","14110181.01"
"000951","2022-05-23","14521385.29"
"000951","2022-05-24","13910453.22"
"000951","2022-05-25","14403898.35"
"000951","2022-05-26","14721113.08"
"000951","2022-05-27","14615374.84"
"000951","2022-05-30","15508275.55"
"000951","2022-05-31","14967835.65"
"000951","2022-06-01","14838600.02"
"000951","2022-06-02","14920840.87"
"000951","2022-06-06","14885594.79"
"000951","2022-06-07","14685867.00"
"000951","2022-06-08","14638872.23"
"000951","2022-06-09","14157175.79"
"000951","2022-06-10","14321657.50"
"000951","2022-06-13","14533133.98"
"000951","2022-06-14","14779856.55"
"000951","2022-06-15","15038327.81"
"000951","2022-06-16","14591877.45"
"000951","2022-06-17","14685867.00"
"000951","2022-06-20","14967835.65"
"000951","2022-06-21","15120568.66"
"000951","2022-06-22","15191060.82"
"000951","2022-06-23","15860736.36"
"000951","2022-06-24","15708003.34"
"000951","2022-06-27","15602265.10"
"000951","2022-06-28","16436422.35"
"000951","2022-06-29","15085322.58"
"000951","2022-06-30","15261552.99"
"000951","2022-07-01","16788883.15"
"000951","2022-07-04","16248443.25"
"000951","2022-07-05","16130956.31"
"000951","2022-07-06","15813741.59"
"000951","2022-07-07","16389427.57"
"000951","2022-07-08","16835877.93"
"000951","2022-07-11","15942977.22"
"000951","2022-07-12","15449532.08"
"000951","2022-07-13","16142705.01"
"000951","2022-07-14","15872485.05"
"000951","2022-07-15","15167563.44"
"000951","2022-07-18","16224945.86"
"000951","2022-07-19","16330684.10"
"000951","2022-07-20","16248443.25"
"000951","2022-07-21","16248443.25"
"000951","2022-07-22","16424673.65"
"000951","2022-07-25","15942977.22"
"000951","2022-07-26","15860736.36"
"000951","2022-07-27","15813741.59"
"000951","2022-07-28","15708003.34"
"000951","2022-07-29","15355542.54"
"000951","2022-08-01","14909092.18"
"000951","2022-08-02","14074934.93"
"000951","2022-08-03","13581489.80"
"000951","2022-08-04","13534495.03"
"000951","2022-08-05","13769468.90"
"000951","2022-08-08","13980945.38"
"000951","2022-08-09","13816463.67"
"000951","2022-08-10","13687228.04"
"000951","2022-08-11","13957448.00"
"000951","2022-08-12","13757720.21"
"000951","2022-08-15","13687228.04"
"000951","2022-08-16","13745971.51"
"000951","2022-08-17","14063186.24"
"000951","2022-08-18","13863458.45"
"000951","2022-08-19","13710725.43"
"000951","2022-08-22","13910453.22"
"000951","2022-08-23","13522746.33"
"000951","2022-08-24","13252526.38"
"000951","2022-08-25","13029301.20"
"000951","2022-08-26","12923562.96"
"000951","2022-08-29","12841322.10"
"000951","2022-08-30","12653343.01"
"000951","2022-08-31","12512358.68"
"000951","2022-09-01","12406620.44"
"000951","2022-09-02","12700337.78"
"000951","2022-09-05","12582850.85"
"000951","2022-09-06","12888316.88"
"000951","2022-09-07","12841322.10"
"000951","2022-09-08","13088044.67"
"000951","2022-09-09","13146788.14"
"000951","2022-09-13","13170285.53"
"000951","2022-09-14","13299521.16"
"000951","2022-09-15","13428756.78"
"000951","2022-09-16","12817824.72"
"000951","2022-09-19","12853070.80"
"000951","2022-09-20","12676840.39"
"000951","2022-09-21","13229028.99"
"000951","2022-09-22","13052798.59"
"000951","2022-09-23","12665091.70"
"000951","2022-09-26","12324379.59"
"000951","2022-09-27","12559353.46"
"000951","2022-09-28","12253887.42"
"000951","2022-09-29","11960170.08"
"000951","2022-09-30","11936672.70"
"000951","2022-10-10","11619457.97"
"000951","2022-10-11","11866180.54"
"000951","2022-10-12","12148149.18"
"000951","2022-10-13","12371374.36"
"000951","2022-10-14","12735583.86"
"000951","2022-10-17","13346515.93"
"000951","2022-10-18","13522746.33"
"000951","2022-10-19","13193782.91"
"000951","2022-10-20","13123290.75"
"000951","2022-10-21","13522746.33"
"000951","2022-10-24","13393510.70"
"000951","2022-10-25","13734222.82"
"000951","2022-10-26","13828212.37"
"000951","2022-10-27","14110181.01"
"000951","2022-10-28","13546243.72"
"000951","2022-10-31","13299521.16"
"000951","2022-11-01","14627123.53"
"000951","2022-11-02","15073573.89"
"000951","2022-11-03","15496526.86"
"000951","2022-11-04","15578767.71"
"000951","2022-11-07","15202809.52"
